Key,Type,English,French,Chinese,Spanish,Filipino,Vietnamese,Thai,Portuguese,Hindi,Swahili,Indonesian,Creole,Burmese
cat_other,main,Other,Autre,其他,Otro,Iba pa,Khác,อื่นๆ,Outro,अन्य,Nyingine,Lainnya,Lòt,တခြား
cat_feed,main,Feed,Alimentation,饲料,Alimento,Pagkain,Thức ăn,อาหาร,Ração,चारा,Kulisha,Memberi makan,Manje,ကျွေးပါ။
cat_medicine,main,Medicine,Médicament,药物,Medicina,Gamot,Thuốc,ยา,Medicamento,दवा,Dawa,Obat,Remèd,ဆေးဝါး
cat_equipment,main,Equipment,Équipement,设备,Equipo,Kagamitan,Thiết bị,อุปกรณ์,Equipamento,उपकरण,Vifaa,Peralatan,Ekipman,ပေးရတယ်။
cat_labor,main,Labor,Main-d'œuvre,人工,Mano de obra,Trabaho,Nhân công,แรงงาน,Mão de obra,श्रम,Kazi,Tenaga kerja,Travay,အလုပ်သမား
human_resources_upper,main,HUMAN RESOURCES,RESSOURCES HUMAINES,人力资源,RECURSOS HUMANOS,YAMANG TAO,NHÂN SỰ,ทรัพยากรบุคคล,RECURSOS HUMANOS,मानव संसाधन,RASILIMALI WATU,SUMBER DAYA MANUSIA,RESOUS IMEN,လူ့အင်အားအရင်းအမြစ်
hr_report,main,Human Resources Report,Rapport RH,人力资源报告,Informe de RRHH,Report ng HR,Báo cáo nhân sự,รายงานทรัพยากรบุคคล,Relatório de Recursos Humanos,मानव संसाधन रिपोर्ट,Ripoti ya Rasilimali Watu,Laporan Sumber Daya Manusia,Rapò Resous Imèn,လူ့စွမ်းအားအရင်းအမြစ်အစီရင်ခံစာ
staff_details,main,Staff Details,Détails du personnel,员工详情,Detalles del personal,Detalye ng Staff,Chi tiết nhân viên,รายละเอียดพนักงาน,Detalhes da Equipe,कर्मचारी विवरण,Maelezo ya Wafanyakazi,Detail Staf,Detay anplwaye yo,ဝန်ထမ်းအသေးစိတ်
monthly_payroll,main,Monthly Payroll,Paie mensuelle,每月薪资,Nómina mensual,Buwanang Payroll,Bảng lương hàng tháng,เงินเดือนรายเดือน,Folha de Pagamento Mensal,मासिक पेरोल,Malipo ya kila mwezi,Gaji Bulanan,Pewòl chak mwa,လစဉ်လစာ
staff_name,main,Staff Name,Nom de l'employé,员工姓名,Nombre del empleado,Pangalan ng Staff,Tên nhân viên,ชื่อพนักงาน,Nome do Funcionário,कर्मचारी का नाम,Jina la mfanyakazi,Nama Staf,Non Anplwaye a,ဝန်ထမ်းအမည်
role,main,Role,Poste,职位,Puesto,Tungkulin,Vai trò,บทบาท,Cargo,पद,Jukumu,Peran,Wòl,အခန်းကဏ္ဍ
join_date,main,Join Date,Date d'embauche,入职日期,Fecha de ingreso,Petsa ng Pagsisimula,Ngày vào làm,วันที่เริ่มงาน,Data de Admissão,कार्यभार ग्रहण करने की तिथि,Tarehe ya Kujiunga,Tanggal Bergabung,Antre nan dat,Join Date
payroll_history,main,Payroll History,Historique de paie,薪资历史,Historial de nóminas,Kasaysayan ng Payroll,Lịch sử lương,ประวัติการจ่ายเงินเดือน,Histórico de Pagamentos,पेरोल इतिहास,Historia ya malipo,Sejarah Penggajian,Istwa Pewòl,လစာမှတ်တမ်း
category_label,main,Category,Catégorie,类别,Categoría,Kategorya,Danh mục,หมวดหมู่,Categoria,श्रेणी,Kategoria,Kategori,Kategori,အမျိုးအစား
total_payments_period,main,Total Payments in Selected Period: %s,Total des paiements pour la période : %s,选定期间的总付款：%s,Total de pagos en el período seleccionado: %s,Kabuuang bayad sa napiling panahon: %s,Tổng chi trả trong giai đoạn đã chọn: %s,ยอดชำระรวมในรอบที่เลือก: %s,Total de pagamentos no período selecionado: %s,चयनित अवधि में कुल भुगतान: %s,Jumla ya Malipo katika Kipindi Kilichochaguliwa: %s,Total Pembayaran pada Periode yang Dipilih: %s,Total Peman nan Peryòd Chwazi: %s,ရွေးချယ်ထားသော ကာလအတွင်း စုစုပေါင်းငွေပေးချေမှုများ- %s
export_hr_report,main,Export HR Report,Exporter le rapport RH,导出人力资源报告,Exportar informe de RRHH,I-export ang Report ng HR,Xuất báo cáo nhân sự,ส่งออกรายงาน HR,Exportar Relatório de RH,HR रिपोर्ट निर्यात करें,Hamisha Ripoti ya HR,Ekspor Laporan SDM,Ekspòtasyon Rapò HR,HR အစီရင်ခံစာကို ထုတ်ယူပါ။
all_records,main,All Records,Tous les dossiers,所有记录,Todos los registros,Lahat ng Records,Tất cả hồ sơ,บันทึกทั้งหมด,Todos os registros,सभी रिकॉर्ड,Rekodi Zote,Semua Catatan,Tout Dosye,မှတ်တမ်းအားလုံး
select_date_range,main,Select Date Range,Choisir la période,选择日期范围,Seleccionar rango de fechas,Pumili ng Petsa,Chọn khoảng ngày,เลือกช่วงวันที่,Selecionar Período,तिथि सीमा चुनें,Chagua Masafa ya Tarehe,Pilih Rentang Tanggal,Chwazi Dat,ရက်စွဲအပိုင်းကို ရွေးပါ။
from_date_label,main,From Date,Date de début,开始日期,Desde la fecha,Mula sa Petsa,Từ ngày,จากวันที่,Data Inicial,आरंभ तिथि,Kuanzia Tarehe,Dari Tanggal,Soti nan Dat,Date မှ
to_date_label,main,To Date,Date de fin,结束日期,Hasta la fecha,Hanggang sa Petsa,Đến ngày,ถึงวันที่,Data Final,अंतिम तिथि,Hadi Sasa,Hingga saat ini,Pou dat,ယနေ့အထိ
generate_pdf,main,Generate PDF,Générer le PDF,生成 PDF,Generar PDF,Gumawa ng PDF,Tạo PDF,สร้าง PDF,Gerar PDF,PDF तैयार करें,Tengeneza PDF,Hasilkan PDF,Jenere PDF,PDF ကိုဖန်တီးပါ။
add_employee,main,Add Employee,Ajouter un employé,添加员工,Añadir empleado,Magdagdag ng Empleyado,Thêm nhân viên,เพิ่มพนักงาน,Adicionar Funcionário,कर्मचारी जोड़ें,Ongeza Mfanyakazi,Tambahkan Karyawan,Ajoute Anplwaye,ဝန်ထမ်းထည့်ပါ။
no_staff_found,main,No staff members found. Add your first employee!,Aucun membre du personnel trouvé. Ajoutez votre premier employé !,未找到员工。请添加您的第一位员工！,No se encontró personal. ¡Añade a tu primer empleado!,Walang nahanap na staff. Idagdag ang iyong unang staff!,Không tìm thấy nhân viên. Hãy thêm nhân viên đầu tiên của bạn!,ไม่พบข้อมูลพนักงาน เพิ่มพนักงานคนแรกของคุณเลย!,Nenhum funcionário encontrado. Adicione seu primeiro funcionário!,कोई कर्मचारी नहीं मिला। अपना पहला कर्मचारी जोड़ें!,Hakuna wafanyikazi waliopatikana. Ongeza mfanyakazi wako wa kwanza!,Tidak ada anggota staf yang ditemukan. Tambahkan karyawan pertama Anda!,Okenn anplwaye pa jwenn. Ajoute premye anplwaye ou!,ဝန်ထမ်း မတွေ့ပါ။ သင်၏ ပထမဆုံးဝန်ထမ်းကို ထည့်ပါ။
total_staff,main,Total Staff,Effectif total,员工总数,Total de personal,Kabuuang Staff,Tổng số nhân viên,พนักงานทั้งหมด,Total de Funcionários,कुल कर्मचारी,Jumla ya Wafanyakazi,Jumlah Staf,Total anplwaye,စုစုပေါင်းဝန်ထမ်း
full_name,main,Full Name,Nom complet,全名,Nombre completo,Buong Pangalan,Họ và tên,ชื่อ-นามสกุล,Nome Completo,पूरा नाम,Jina Kamili,Nama Lengkap,Non konplè,နာမည်အပြည့်အစုံ
role_hint,main,"Role (e.g., Farm Manager)",Poste (ex. Gérant de ferme),职位（如：农场经理）,Puesto (ej. Gerente de granja),"Tungkulin (hal., Manager ng Farm)",Vai trò (VD: Quản lý trang trại),บทบาท (เช่น ผู้จัดการฟาร์ม),Cargo (ex: Gerente da Fazenda),"पद (जैसे, फार्म मैनेजर)","Jukumu (k.m., Meneja wa Shamba)","Peran (misalnya, Manajer Pertanian)","Wòl (egzanp, Manadjè Farm)",တာဝန် (ဥပမာ၊ လယ်ယာမန်နေဂျာ)
phone_number,main,Phone Number,Numéro de téléphone,电话号码,Teléfono,Numero ng Telepono,Số điện thoại,เบอร์โทรศัพท์,Número de Telefone,फ़ोन नंबर,Nambari ya Simu,Nomor telepon,Nimewo Telefòn,ဖုန်းနံပါတ်
allow_app_access,main,Allow App Access,Autoriser l'accès,允许应用访问,Permitir acceso a la aplicación,Payagan ang Access sa App,Cho phép truy cập ứng dụng,อนุญาตการเข้าถึงแอป,Permitir Acesso ao App,ऐप एक्सेस की अनुमति दें,Ruhusu Ufikiaji wa Programu,Izinkan Akses Aplikasi,Pèmèt Aksè Aplikasyon an,အက်ပ်အသုံးပြုခွင့်ကို ခွင့်ပြုပါ။
staff_email,main,Staff Email,E-mail professionnel,员工邮箱,Correo del empleado,Email ng Staff,Email nhân viên,อีเมลพนักงาน,E-mail do Funcionário,कर्मचारी ईमेल,Barua pepe ya Wafanyakazi,Email Staf,Imèl anplwaye yo,ဝန်ထမ်းအီးမေးလ်
invitation_note,main,An invitation will be sent to this email to set up their password.,Une invitation sera envoyée à cet e-mail pour définir son mot de passe.,邀请邮件将发送至该地址以设置密码。,Se enviará una invitación a este correo para configurar su contraseña.,Isang imbitasyon ang ipadadala sa email na ito upang i-set up ang kanilang password.,Một lời mời sẽ được gửi đến email này để thiết lập mật khẩu.,คำเชิญจะถูกส่งไปยังอีเมลนี้เพื่อตั้งค่ารหัสผ่าน,Um convite será enviado para este e-mail para configurar a senha.,पासवर्ड सेट करने के लिए इस ईमेल पर एक निमंत्रण भेजा जाएगा।,Mwaliko utatumwa kwa barua pepe hii ili kusanidi nenosiri lao.,Undangan akan dikirim ke email ini untuk mengatur kata sandi mereka.,Y ap voye yon envitasyon nan imel sa a pou mete modpas yo.,၎င်းတို့၏ စကားဝှက်ကို စနစ်ထည့်သွင်းရန် ဖိတ်ကြားချက်တစ်ခုကို ဤအီးမေးလ်သို့ ပေးပို့ပါမည်။
add_staff_member,main,Add Staff Member,Ajouter un membre du personnel,添加员工,Añadir miembro del personal,Magdagdag ng Miyembro ng Staff,Thêm nhân viên,เพิ่มพนักงาน,Adicionar Funcionário,कर्मचारी जोड़ें,Ongeza Mfanyikazi,Tambahkan Anggota Staf,Ajoute Manm Anplwaye,ဝန်ထမ်းအဖွဲ့ဝင်ကို ထည့်ပါ။
edit_staff_member,main,Edit Staff Member,Modifier le membre du personnel,编辑员工,Editar miembro del personal,I-edit ang Miyembro ng Staff,Chỉnh sửa nhân viên,แก้ไขข้อมูลพนักงาน,Editar Funcionário,कर्मचारी संपादित करें,Hariri Mfanyakazi,Sunting Anggota Staf,Edit Staff Member,ဝန်ထမ်းအဖွဲ့ဝင်ကို တည်းဖြတ်ပါ။
delete_staff_member,main,Delete Staff Member,Supprimer le membre du personnel,删除员工,Eliminar miembro del personal,Burahin ang Miyembro ng Staff,Xóa nhân viên,ลบพนักงาน,Excluir Funcionário,कर्मचारी हटाएँ,Futa Mfanyikazi,Hapus Anggota Staf,Efase Manm Anplwaye,ဝန်ထမ်းအဖွဲ့ဝင်ကို ဖျက်ပါ။
delete_staff_confirm,main,Are you sure you want to remove %s from your staff records?,Voulez-vous vraiment supprimer %s de vos dossiers du personnel ?,您确定要从员工记录中移除 %s 吗？,¿Seguro que quieres eliminar a %s de tus registros de personal?,Sigurado ka bang gusto mong alisin si %s sa iyong records?,Bạn có chắc chắn muốn xóa %s khỏi hồ sơ nhân viên không?,คุณแน่ใจหรือไม่ว่าต้องการลบ %s ออกจากบันทึกพนักงาน?,Tem certeza de que deseja remover %s dos seus registros de pessoal?,क्या आप वाकई %s को अपने कर्मचारियों के रिकॉर्ड से हटाना चाहते हैं?,"Je, una uhakika unataka kuondoa %s kutoka kwa rekodi zako za wafanyakazi?",Apakah Anda yakin ingin menghapus %s dari catatan staf Anda?,Èske w sèten ou vle retire %s nan dosye anplwaye w yo?,သင့်ဝန်ထမ်းမှတ်တမ်းများမှ %s ကို ဖယ်ရှားလိုသည်မှာ သေချာပါသလား။
log_salary_payment,main,Log Salary Payment,Enregistrer paie,记录工资发放,Registrar pago de salario,Itala ang Bayad sa Sahod,Ghi nhận trả lương,บันทึกการจ่ายเงินเดือน,Registrar Pagamento de Salário,वेतन भुगतान लॉग करें,Ingia Malipo ya Mshahara,Log Pembayaran Gaji,Log Peman Salè,လစာငွေပေးချေမှုမှတ်တမ်း
payment_details_for,main,Payment details for %s,Détails du paiement pour %s,%s 的付款详情,Detalles de pago de %s,Mga detalye ng bayad para kay %s,Chi tiết thanh toán cho %s,รายละเอียดการชำระเงินของ %s,Detalhes do pagamento para %s,%s के लिए भुगतान विवरण,Maelezo ya malipo ya %s,Detail pembayaran untuk %s,Detay peman pou %s,%s အတွက် ငွေပေးချေမှုအသေးစိတ်
salary_amount_symbol,main,Salary Amount (%s),Montant du salaire (%s),工资金额 (%s),Monto del salario (%s),Halaga ng Sahod (%s),Số tiền lương (%s),จำนวนเงินเดือน (%s),Valor do Salário (%s),वेतन राशि (%s),Kiasi cha Mshahara (%s),Jumlah Gaji (%s),Kantite Salè (%s),လစာပမာဏ (%s)
month,main,Month,Mois,月,Mes,Buwan,Tháng,เดือน,Mês,माह,Mwezi,Bulan,Mwa,လ
year,main,Year,Année,年,Año,Taon,Năm,ปี,Ano,वर्ष,Mwaka,Tahun,Ane,တစ်နှစ်
log_payment_btn,main,Log Payment,Enregistrer,记录付款,Registrar pago,Itala ang Bayad,Ghi nhận thanh toán,บันทึกการชำระเงิน,Registrar Pagamento,भुगतान लॉग करें,Malipo ya logi,Log Pembayaran,Log Peman,ငွေပေးချေမှုမှတ်တမ်း
january,main,January,janvier,一月,enero,Enero,Tháng Một,มกราคม,janeiro,जनवरी,Januari,Januari,Janvye,ဇန်နဝါရီလ
february,main,February,février,二月,febrero,Pebrero,Tháng Hai,กุมภาพันธ์,fevereiro,फ़रवरी,Februari,Februari,Fevriye,ဖေဖော်ဝါရီ
march,main,March,mars,三月,marzo,Marso,Tháng Ba,มีนาคม,março,मार्च,Machi,Berbaris,Mas,မတ်လ
april,main,April,avril,四月,abril,Abril,Tháng Tư,เมษายน,abril,अप्रैल,Aprili,April,Avril,ဧပြီလ
may,main,May,mai,五月,mayo,Mayo,Tháng Năm,พฤษภาคม,maio,मई,Mei,Mungkin,Me,မေ
june,main,June,juin,六月,junio,Hunyo,Tháng Sáu,มิถุนายน,junho,जून,Juni,Juni,jen,ဇွန်လ
july,main,July,juillet,七月,julio,Hulyo,Tháng Bảy,กรกฎาคม,julho,जुलाई,Julai,Juli,Jiyè,ဇူလိုင်လ
august,main,August,août,八月,agosto,Agosto,Tháng Tám,สิงหาคม,agosto,अगस्त,Agosti,Agustus,Out,သြဂုတ်လ
september,main,September,septembre,九月,septiembre,Setyembre,Tháng Chín,กันยายน,setembro,सितम्बर,Septemba,September,Septanm,စက်တင်ဘာ
october,main,October,octobre,十月,octubre,Oktubre,Tháng Mười,ตุลาคม,outubro,अक्टूबर,Oktoba,Oktober,Oktòb,အောက်တိုဘာလ
november,main,November,novembre,十一月,noviembre,Nobyembre,Tháng Mười Một,พฤศจิกายน,novembro,नवम्बर,Novemba,November,Novanm,နိုဝင်ဘာလ
december,main,December,décembre,十二月,diciembre,Disyembre,Tháng Mười Hai,ธันวาคม,dezembro,दिसम्बर,Desemba,Desember,Desanm,ဒီဇင်ဘာ
market_coming_soon,main,Market Coming Soon!,Le marché arrive bientôt !,市场即将上线！,¡Mercado Próximamente!,Malapit na ang Market!,Thị trường sắp ra mắt!,ตลาดกำลังจะมาเร็วๆ นี้!,Mercado em breve!,बाज़ार जल्द ही आ रहा है!,Soko Linakuja Hivi Karibuni!,Pasar Segera Hadir!,Mache ap vini byento!,စျေးကွက်မကြာမီလာမည်။
market_suggestion_desc,main,We are building a comprehensive marketplace for pig farmers. Help us expand by suggesting a service provider near you!,Nous construisons un marché complet pour les éleveurs de porcs. Aidez-nous à nous développer en suggérant un prestataire de services près de chez vous !,我们正在为养猪户建立一个综合市场。建议您附近的服​​务提供商，帮助我们扩大规模！,Estamos construindo um mercado abrangente para suinocultores. Ajude-nos a expandir sugerindo um provedor de serviços perto de você!,Bumubuo kami ng komprehensibong marketplace para sa mga nagbababoy. Tulungan kaming lumawak sa pamamagitan ng pagmumungkahi ng service provider malapit sa iyo!,Chúng tôi đang xây dựng một thị trường toàn diện cho người chăn nuôi heo. Hãy giúp chúng tôi mở rộng bằng cách đề xuất một nhà cung cấp dịch vụ gần bạn!,เรากำลังสร้างตลาดที่ครอบคลุมสำหรับผู้เลี้ยงสุกร ช่วยเราขยายตัวโดยแนะนำผู้ให้บริการใกล้คุณ!,Estamos construindo um mercado abrangente para suinocultores. Ajude-nos a expandir sugerindo um provedor de serviços perto de você!,हम सूअर पालकों के लिए एक व्यापक बाज़ार बना रहे हैं। अपने आस-पास के सेवा प्रदाता का सुझाव देकर विस्तार करने में हमारी मदद करें!,Tunajenga soko la kina kwa wafugaji wa nguruwe. Tusaidie kupanua kwa kupendekeza mtoa huduma aliye karibu nawe!,Kami sedang membangun pasar yang komprehensif untuk peternak babi. Bantu kami berkembang dengan menyarankan penyedia layanan di dekat Anda!,Nou ap konstwi yon mache konplè pou kiltivatè kochon. Ede nou elaji lè w sijere yon founisè sèvis toupre ou!,ကျွန်ုပ်တို့သည် ဝက်မွေးမြူရေးသမားများအတွက် ကျယ်ကျယ်ပြန့်ပြန့် စျေးကွက်တစ်ခု တည်ဆောက်နေပါသည်။ သင့်အနီးနားရှိ ဝန်ဆောင်မှုပေးသူကို အကြံပြုခြင်းဖြင့် ကျွန်ုပ်တို့ကို တိုးချဲ့ကူညီပေးပါ။
suggest_provider,main,"Suggest Vendor, Buyer or Vet","Suggérer un vendeur, acheteur ou vétérinaire",推荐供应商、买家或兽医,"Sugerir vendedor, comprador o veterinario","Magmungkahi ng Vendor, Buyer o Vet","Đề xuất người bán, người mua hoặc bác sĩ thú y",แนะนำผู้ขาย ผู้ซื้อ หรือสัตวแพทย์,"Sugerir vendedor, comprador ou veterinário","विक्रेता, खरीदार या पशु चिकित्सक का सुझाव दें","Pendekeza Muuzaji, Mnunuzi au Daktari wa mifugo","Sarankan Vendor, Pembeli atau Dokter Hewan","Sijere Vandè, Achtè oswa Veterinè",ရောင်းသူ၊ ဝယ်သူ သို့မဟုတ် တိရစ္ဆာန်ဆေးကုပညာကို အကြံပြုပါ။
market_vendors,main,Verified Vendors,Vendeurs vérifiés,认证供应商,Vendedores verificados,Mga Veripikadong Vendor,Nhà cung cấp đã xác minh,ผู้จำหน่ายที่ได้รับการยืนยัน,Vendedores verificados,सत्यापित विक्रेता,Wauzaji Waliothibitishwa,Vendor Terverifikasi,Vandè verifye,စိစစ်ပြီး ရောင်းချသူများ
market_buyers,main,Pork Buyers & Abattoirs,Acheteurs de porc & abattoirs,猪肉买家与屠宰场,Compradores de cerdo y mataderos,Mga Bumibili ng Baboy at Katayan,Người mua thịt lợn & lò mổ,ผู้ซื้อเนื้อหมูและโรงฆ่าสัตว์,Compradores de carne suína e abatedouros,सुअर मांस खरीदार और बूचड़खाने,Wanunuzi wa Nguruwe & Machinjio,Pembeli & Rumah Potong Hewan Babi,Achtè vyann kochon ak abatwa,ဝက်သားဝယ်သူများနှင့် သားသတ်ရုံများ
market_vets,main,Veterinary Services,Services vétérinaires,兽医服务,Servicios veterinarios,Mga Serbisyong Beterinaryo,Dịch vụ thú y,บริการสัตวแพทย์,Serviços veterinários,पशु चिकित्सा सेवाएं,Huduma za Mifugo,Pelayanan Kedokteran Hewan,Sèvis Veterinè,ကုသရေးဝန်ဆောင်မှုများ
provider_name,main,Provider Name,Nom du prestataire,提供商名称,Nome do provedor,Pangalan ng Provider,Tên nhà cung cấp,ชื่อผู้ให้บริการ,Nome do Provedor,प्रदाता का नाम,Jina la Mtoa huduma,Nama Penyedia,Non Founisè a,ပံ့ပိုးသူအမည်
service_type,main,Service Type,Type de service,服务类型,Tipo de serviço,Uri ng Serbisyo,Loại dịch vụ,ประเภทบริการ,Tipo de serviço,सेवा का प्रकार,Aina ya Huduma,Jenis Layanan,Kalite Sèvis,ဝန်ဆောင်မှုအမျိုးအစား
contact_number,main,Contact Number,Numéro de contact,联系电话,Número de contato,Numero ng Telepono,Số điện thoại liên hệ,เบอร์โทรศัพท์ติดต่อ,Número de Contato,संपर्क नंबर,Nambari ya Mawasiliano,Nomor Kontak,Nimewo Kontakte,ဆက်သွယ်ရန်နံပါတ်
email_address,main,Email Address,Adresse e-mail,电子邮件地址,E-mail,Email Address,Địa chỉ email,ที่อยู่อีเมล,Endereço de E-mail,ईमेल पता,Anwani ya Barua Pepe,Alamat Surel,Adrès Imèl,အီးမေးလ်လိပ်စာ
city_town,main,City/Town,Ville,城市/城镇,Cidade/Vila,Lungsod/Bayan,Thành phố/Thị trấn,เมือง/อำเภอ,Cidade/Vila,शहर/कस्बा,Mji/Mji,Kota / Kota,Vil/vil,မြို့/မြို့
submit_suggestion,main,Submit Suggestion,Envoyer la suggestion,提交建议,Enviar sugestão,Isumite ang Mungkahi,Gửi đề xuất,ส่งคำแนะนำ,Enviar Sugestão,सुझाव सबमिट करें,Pendekeza Pendekezo,Kirim Saran,Soumèt sijesyon,အကြံပြုချက် တင်ပြပါ။
suggestion_success_title,main,Success,Succès,成功,Sucesso,Tagumpay,Thành công,สำเร็จ,Sucesso,सफलता,Mafanikio,Kesuksesan,Siksè,အောင်မြင်မှု
suggestion_success_msg,main,Thank you for your suggestion,Merci pour votre suggestion,感谢您的建议,Obrigado pela sua sugestão,Salamat sa iyong mungkahi,Cảm ơn bạn đã đề xuất,ขอบคุณสำหรับคำแนะนำของคุณ,Obrigado pela sua sugestão,आपके सुझाव के लिए धन्यवाद,Asante kwa pendekezo lako,Terima kasih atas saran Anda,Mèsi pou sijesyon ou,သင့်အကြံပြုချက်အတွက် ကျေးဇူးတင်ပါသည်။
butcher,main,Butcher,Boucher,屠夫,Açougueiro,Butcher (Magkakatay),Người bán thịt,เขียงหมู,Açougueiro,कसाई,Mchinjaji,Tukang daging,Bouche,အသားရောင်းသူ
meat_processor,main,Meat Processor,Transformateur de viande,肉类加工商,Processador de carne,Tagaproseso ng Karne,Cơ sở chế biến thịt,โรงงานแปรรูปเนื้อสัตว์,Processador de Carne,मांस प्रसंस्करणकर्ता,Kichakataji nyama,Pengolah Daging,Processeur vyann,အသားပရိုဆက်ဆာ
abattoir,main,Abattoir,Abattoir,屠宰场,Abatedouro,Katayan,Lò mổ,โรงฆ่าสัตว์,Abatedouro,बूचड़खाना,Machinjio,Tempat pemotongan,Abatwa,သားသတ်ရုံ
feed_supplier,main,Feed Supplier,Fournisseur d'aliments,饲料供应商,Fornecedor de ração,Supplier ng Pagkain,Nhà cung cấp thức ăn,ผู้จัดจำหน่ายอาหารสัตว์,Fornecedor de Ração,चारा आपूर्तिकर्ता,Mtoa Malisho,Pemasok Pakan,Founisè Manje,Feed Supplier
tools_supplier,main,Tools Supplier,Fournisseur d'outils,工具供应商,Fornecedor de ferramentas,Supplier ng mga Kagamitan,Nhà cung cấp dụng cụ,ผู้จัดจำหน่ายอุปกรณ์,Fornecedor de Ferramentas,उपकरण आपूर्तिकर्ता,Mtoa Zana,Pemasok Alat,Founisè zouti,ကိရိယာများ ပေးသွင်းသူ
vet_shop,main,Veterinary Shop,Magasin vétérinaire,兽医店,Loja veterinária,Tindahan ng Gamot-Hayop,Cửa hàng thú y,ร้านขายยาสัตว์,Loja Veterinária,पशु चिकित्सा दुकान,Duka la Mifugo,Toko Hewan,Boutik Veterinè,တိရစ္ဆာန်ဆေးဆိုင်
vet_services,main,Veterinary Services,Services vétérinaires,兽医服务,Serviços veterinários,Serbisyong Beterinaryo,Dịch vụ thú y,บริการทางสัตวแพทย์,Serviços Veterinários,पशु चिकित्सा सेवाएँ,Huduma za Mifugo,Pelayanan Kedokteran Hewan,Sèvis Veterinè,ကုသရေးဝန်ဆောင်မှုများ
weight_checker_title,main,WEIGHT CHECKER,VÉRIFICATEUR DE POIDS,体重检查器,VERIFICADOR DE PESO,TAGASURI NG TIMBANG,KIỂM TRA CÂN NẶNG,ตรวจสอบน้ำหนัก,VERIFICADOR DE PESO,वजन जाँचकर्ता,KUKAGUA UZITO,PEMERIKSA BERAT BADAN,CHEKÈ PWA,အလေးချိန်စစ်ဆေးသူ
important_notes_title,main,Important Notes,Notes importantes,重要提示,Notas importantes,Mahahalagang Paalala,Lưu ý quan trọng,ข้อควรระวังสำคัญ,Notas Importantes,महत्वपूर्ण नोट,Vidokezo Muhimu,Catatan Penting,Nòt enpòtan,အရေးကြီးသောမှတ်စုများ
