Key,English,Translation
dis_rotavirus_desc,Common cause of weaning diarrhea.,
dis_rotavirus_prev,Vaccination and hygiene.,
dis_teschen,Teschen/Talfan Disease,
dis_teschen_desc,Viral infection of the nervous system.,
dis_teschen_prev,Biosecurity.,
dis_vesicular,Swine Vesicular Disease,
dis_vesicular_desc,Viral disease mimicking FMD.,
dis_vesicular_prev,Strict quarantine.,
dis_melioidosis,Melioidosis,
dis_melioidosis_desc,Bacterial disease from soil/water.,
dis_melioidosis_prev,Clean water and hygiene.,
dis_trypanosomiasis,Trypanosomiasis,
dis_trypanosomiasis_desc,Protozoan disease spread by tsetse flies.,
dis_trypanosomiasis_prev,Fly control and medication.,
dis_cysticercosis,Cysticercosis,
dis_cysticercosis_desc,Larval stage of human tapeworm in pig muscle.,
dis_cysticercosis_prev,Prevent access to human waste.,
dis_toxoplasmosis,Toxoplasmosis,
dis_toxoplasmosis_desc,Zoonotic protozoan infection.,
dis_toxoplasmosis_prev,Cat control and biosecurity.,
dis_listeriosis,Listeriosis,
dis_listeriosis_desc,Bacterial infection of nervous system.,
dis_listeriosis_prev,Sanitation and feed hygiene.,
dis_ear_necrosis,Ear Necrosis,
dis_ear_necrosis_desc,"Often caused by stress, overcrowding, or infection.",
dis_ear_necrosis_prev,Reduce density and treat secondary infection.,
dis_sunburn,Sunburn,
dis_sunburn_desc,Affects white-skinned pigs outdoors.,
dis_sunburn_prev,Provide shade.,
dis_tail_biting,Tail Biting,
dis_tail_biting_desc,Behavioral issue due to stress/boredom.,
dis_tail_biting_prev,Reduce stress and enrich environment.,
dis_navel_ill,Navel Ill,
dis_navel_ill_desc,Infection of the umbilical cord at birth.,
dis_navel_ill_prev,Iodine dip at birth and sanitation.,
dis_iron_toxicity,Iron Toxicity,
dis_iron_toxicity_desc,Can occur if iron is injected into Vit E deficient piglets.,
dis_iron_toxicity_prev,Ensure sow diet is balanced.,
training_title,TRAINING,
quick_farming_tips,Quick Farming Tips,
video_tutorials,Video Tutorials,
tip_1_title,Feeding Strategy,
tip_1_content,High-quality feed is essential. Ensure pigs have constant access to fresh water and balanced nutrition tailored to their growth stage.,
tip_2_title,Disease Prevention,
tip_2_content,"Biosecurity is key. Limit visitors, provide footbaths, and maintain a strict vaccination schedule with your veterinarian.",
tip_3_title,Piglet Care,
tip_3_content,Keep newborn piglets warm and ensure they receive colostrum within the first few hours of birth to build immunity.,
tip_4_title,Waste Management,
tip_4_content,Proper manure handling prevents odor and disease. Consider composting or using waste as fertilizer for crops.,
tip_5_title,Record Keeping,
tip_5_content,"Track growth, health, and financials meticulously to identify trends and improve farm profitability.",
video_1_title,Modern Pig Farming Basics,
video_2_title,Advanced Feeding Guide,
video_3_title,Pig Housing Design,
video_4_title,Health and Vaccination,
last_updated,Last Updated: %s,
edit_profile_title,Edit Profile,
save_changes,Save Changes,
login_credentials,Login Credentials,
new_password_hint,New Password (leave blank to keep current),
confirm_new_password,Confirm New Password,
tos_acceptance_title,1. Acceptance of Terms,
tos_acceptance_content,"By accessing and using SmartSwine app, you agree to be bound by these Terms of Service. If you do not agree to these terms, please do not use the service.",
tos_description_title,2. Description of Service,
tos_description_content,"""SmartSwine"" provides farm management tools including, but not limited to:\n• Herd tracking and health data.\n• Financial record keeping.\n• Human Resource management.\n• AI-assisted diagnostic suggestions.\n• Market access information.",
tos_data_privacy_title,3. Data Privacy & Cloud Backup,
tos_data_privacy_content,"You retain ownership of the data you input (herd data, financials, e.t.c.). \nYour farm data is stored securely using Google Firebase, while we strive to protect your data, we cannot guarantee absolute security. \nBy enabling Cloud Backup, you consent to the storage and synchronization of your data across your devices. \nWe do not sell your personal or farm data to third parties.\nYou are responsible for the accuracy of the data entered. Incorrect data in the ""Feed"" or ""Financials"" modules may result in incorrect calculations.",
tos_no_medical_title,4. No Medical or Veterinary Advice (Critical Disclaimer),
tos_no_medical_content,"The ""Feed Calculator"", ""Feed Formulator"", ""Symptoms Analyzer"" and ""Disease Finder"" features are for educational and informational purposes only.\n• The AI results are generated by algorithms and are not a substitute for professional veterinary advice, diagnosis, or treatment.\n• The User agrees to consult a licensed veterinarian before making any feeding and medical decisions regarding livestock.\n• The App Owner is not liable for any livestock loss or damages resulting from the use of the app and its features.",
tos_user_resp_title,5. User Responsibilities,
tos_user_resp_content,Users are responsible for maintaining the confidentiality of their account credentials. You are responsible for all activities that occur under your account.,
tos_prohibited_title,6. Prohibited Conduct,
tos_prohibited_content,Users agree not to:\n• Use the app for any illegal purposes.\n• Attempt to reverse engineer the application.\n• Input fraudulent financial data for the purpose of deceiving third parties.,
tos_availability_title,7. Service Availability,
tos_availability_content,"We strive for 99% uptime but do not guarantee uninterrupted access to the service. Data backups are provided as a convenience; however, users are encouraged to maintain their own records.",
tos_liability_title,8. Limitation of Liability,
tos_liability_content,"SmartSwine app is provided ""as is."" To the maximum extent permitted by law, its developers shall not be liable for any direct, indirect, incidental, or consequential damages resulting from the use or inability to use the service, including livestock loss or financial discrepancies.",
tos_financial_data_title,9. Financial Data,
tos_financial_data_content,"The ""Financials"" module is a tracking tool and does not constitute professional accounting or tax advice. Users are encouraged to export their data for review by certified accountants.",
tos_changes_title,10. Changes to Terms,
tos_changes_content,We reserve the right to modify these terms at any time. Continued use of the app constitutes acceptance of the new terms.,
tos_contact_title,11. Contact Information,
tos_contact_content,"For support or legal inquiries, please contact the developer through the app's profile settings.",
contact_support,Contact Support: %s,
quote_1,"Agriculture is the most healthful, most useful and most noble employment of man. - George Washington",
quote_2,"The farmer is the only man in our economy who buys everything at retail, sells everything at wholesale, and pays the freight both ways. - John F. Kennedy",
quote_3,Farming is a profession of hope. - Brian Brett,
quote_4,"The ultimate goal of farming is not the growing of crops, but the cultivation and perfection of human beings. - Masanobu Fukuoka",
quote_5,"Hard work spotlights the character of people: some turn up their sleeves, some turn up their noses, and some don't turn up at all. - Sam Ewing",
quote_6,Persistence is to the character of man as carbon is to steel. - Napoleon Hill,
quote_7,"Success is not final, failure is not fatal: it is the courage to continue that counts. - Winston Churchill",
quote_8,The only place where success comes before work is in the dictionary. - Vidal Sassoon,
quote_9,Don't judge each day by the harvest you reap but by the seeds that you plant. - Robert Louis Stevenson,
quote_10,The best way to predict your future is to create it. - Abraham Lincoln,
quote_11,Hard work beats talent when talent doesn't work hard. - Tim Notke,
quote_12,Farming looks mighty easy when your plow is a pencil and you're a thousand miles from the corn field. - Dwight D. Eisenhower,
quote_13,The master's eye fattens the pig. - Proverb,
quote_14,Great things are done by a series of small things brought together. - Vincent Van Gogh,
quote_15,The foundation of every state is the education of its youth. - Diogenes,
quote_16,Life on a farm is a school of patience. You can't hurry the crops or make an ox in two days. - Henri Alain,
quote_17,"Farming is not just a job, it's a way of life. - Unknown",
quote_18,"The goal is not to be better than the other man, but your previous self. - Dalai Lama",
quote_19,Sustainability is about the future of our children and grandchildren. - Unknown,
quote_20,The first duty of a farmer is to leave the soil better than he found it. - Unknown,
quote_21,"Work hard in silence, let your success be your noise. - Frank Ocean",
quote_22,Persistence can change failure into extraordinary achievement. - Matt Biondi,
quote_23,"A farmer's work is never done, but the rewards are eternal. - Unknown",
quote_24,Every day is a new opportunity to grow. - Unknown,
quote_25,Growth is never by mere chance; it is the result of forces working together. - James Cash Penney,
quote_26,The simple life is its own reward. - Unknown,
quote_27,Farmers are the backbone of the world. - Unknown,
quote_28,A field is only as good as the man who tends it. - Unknown,
quote_29,"To a farmer, every seed is a promise. - Unknown",
quote_30,Faith is the bird that feels the light when the dawn is still dark. - Rabindranath Tagore,
quote_31,Success usually comes to those who are too busy to be looking for it. - Henry David Thoreau,
quote_32,There are no shortcuts to any place worth going. - Beverly Sills,
quote_33,Believe you can and you're halfway there. - Theodore Roosevelt,
quote_34,Your heart is like a garden. You can plant flowers or you can plant weeds. - Unknown,
quote_35,The discovery of agriculture was the first big step toward a civilized life. - Arthur Keith,
quote_36,Cultivators of the earth are the most valuable citizens. - Thomas Jefferson,
quote_37,The farmer has to be an optimist or he wouldn't still be a farmer. - Will Rogers,
quote_38,"It is only the farmer who faithfully plants seeds in the Spring, who reaps a harvest in the Autumn. - B.C. Forbes",
quote_39,No race can prosper till it learns that there is as much dignity in tilling a field as in writing a poem. - Booker T. Washington,
quote_40,If you tickle the earth with a hoe she laughs with a harvest. - Douglas Jerrold,
quote_41,"Agriculture not only gives riches to a nation, but the only riches she can call her own. - Samuel Johnson",
quote_42,The art of agriculture is the art of being a partner with God. - Unknown,
quote_43,Being a farmer means you have a great deal of patience. - Unknown,
quote_44,"Everything that slows us down and forces patience, everything that sets us back into the slow cycles of nature, is a help. - May Sarton",
quote_45,The farmer is a magician who produces money from the mud. - Amit Kalantri,
quote_46,Soil is the hidden half of nature. - Unknown,
quote_47,Plowing is the foundation of agriculture. - Unknown,
quote_48,"Nature does not hurry, yet everything is accomplished. - Lao Tzu",
quote_49,One who has a land has a gold. - African Proverb,
quote_50,Take care of the land and the land will take care of you. - Unknown,
quote_51,Small-scale farmers are the heroes of our food system. - Unknown,
quote_52,"Persistence is the twin sister of excellence. One is a matter of quality; the other, a matter of time. - Marabel Morgan",
quote_53,Hard work is the formula for success. - Unknown,
quote_54,The sweat of the farmer is the rain for the crops. - Unknown,
quote_55,"The harder you work for something, the greater you'll feel when you achieve it. - Unknown",
quote_56,"Success is the sum of small efforts, repeated day in and day out. - Robert Collier",
quote_57,"Dream big, work hard, stay focused. - Unknown",
quote_58,Challenges are what make life interesting and overcoming them is what makes life meaningful. - Joshua J. Marine,
quote_59,Don't wait for opportunity. Create it. - Unknown,
quote_60,The secret of getting ahead is getting started. - Mark Twain,
quote_61,"Quality is not an act, it is a habit. - Aristotle",
quote_62,"I find that the harder I work, the more luck I seem to have. - Thomas Jefferson",
quote_63,Strength and growth come only through continuous effort and struggle. - Napoleon Hill,
quote_64,Courage is not having the strength to go on; it is going on when you don't have the strength. - Theodore Roosevelt,
quote_65,The road to success is always under construction. - Lily Tomlin,
quote_66,Failure is the condiment that gives success its flavor. - Truman Capote,
quote_67,"Do not be embarrassed by your failures, learn from them and start again. - Richard Branson",
quote_68,Hard times don't create heroes. It is during the hard times when the 'hero' within us is revealed. - Bob Riley,
quote_69,Character is the ability to carry out a good resolution long after the excitement of the moment has passed. - Cavett Robert,
quote_70,Your harvest will come if you do not give up. - Unknown,
farmer,Farmer,
ingredient_maize,Maize,
ingredient_maize_bran,Maize bran,
ingredient_rice_bran,Rice bran,
ingredient_wheat_bran,Wheat bran,
ingredient_cassava_dehydrated,Cassava (dehydrated),
ingredient_cassava_fresh,Cassava (fresh),
ingredient_cassava_peels,Cassava peels,
ingredient_sweet_potato_fresh,Sweet potato (fresh),
ingredient_sweet_potato_dehydrated,Sweet potato (dehydrated),
ingredient_sorghum,Sorghum,
ingredient_millet,Millet,
ingredient_broken_rice,Broken rice,
ingredient_cocoyam_sun_dried,Cocoyam (sun-dried),
ingredient_plantain_leaves_fresh,Plantain leaves (fresh),
ingredient_breadfruit,Breadfruit,
ingredient_dried_brewer_grain,Dried brewer grain,
ingredient_molasses,Molasses,
ingredient_soybean_meal,Soybean meal,
ingredient_fish_meal,Fish meal,
ingredient_pkc,PKC,
ingredient_copra,Copra,
ingredient_full_fat_soybeans,Full fat soybeans,
ingredient_groundnut_cake,Groundnut cake,
ingredient_cottonseed_cake,Cottonseed cake,
ingredient_sheanut_cake,Sheanut cake,
ingredient_sesame_cake,Sesame cake,
ingredient_cashew_nut_meal,Cashew Nut Meal,
ingredient_cowpea,Cowpea,
ingredient_pigeon_pea,Pigeon Pea,
ingredient_mucuna_velvet_bean,Mucuna/Velvet bean,
ingredient_locust_bean_meal,Locust Bean Meal,
ingredient_leucaena_leaf,Leucaena Leaf,
ingredient_moringa_leaf_meal,Moringa Leaf Meal,
ingredient_cassava_leaf_meal,Cassava Leaf Meal,
ingredient_blood_meal,Blood Meal,
ingredient_maggot_meal,Maggot Meal,
ingredient_snail_shell_meal,Snail Shell Meal,
ingredient_bone_meal,Bone Meal,
ingredient_limestone,Limestone,
ingredient_di_calcium_phosphate,Di-Calcium Phosphate,
ingredient_common_salt,Common salt,
ingredient_wood_ash,Wood Ash,
ingredient_eggshell_meal,Eggshell meal,
ingredient_vitamin_premix,Vitamin Premix,
ingredient_mycotoxin_binder,Mycotoxin Binder,
ingredient_lysine,Lysine,
ingredient_methionine,Methionine,
uncategorized,Uncategorized,
main_category,Main Category,
sub_category_optional,Sub-category (optional),
dry_matter_pct,Dry Matter %,
crude_protein_pct_short,Crude Protein %,
metabolizable_energy_kcal_kg,Metabolizable Energy (kcal/kg),
lysine_pct_short,Lysine %,
calcium_pct_short,Calcium %,
phosphorus_pct_short,Phosphorus %,
fiber_pct_short,Fiber %,
fat_pct_short,Fat %,
formulation_for,Formulation for %s,
edit_feed_ingredient,Edit Feed Ingredient,
cassava_fresh,Cassava (fresh),
cassava_peels,Cassava peels,
sweet_potato_fresh,Sweet potato (fresh),
sweet_potato_dehydrated,Sweet potato (dehydrated),
sorghum,Sorghum,
millet,Millet,
broken_rice,Broken rice,
cocoyam_sun_dried,Cocoyam (sun-dried),
plantain_leaves_fresh,Plantain leaves (fresh),
breadfruit,Breadfruit,
dried_brewer_grain,Dried brewer grain,
molasses,Molasses,
pkc,PKC,
copra,Copra,
full_fat_soybeans,Full fat soybeans,
groundnut_cake,Groundnut cake,
cottonseed_cake,Cottonseed cake,
sheanut_cake,Sheanut cake,
sesame_cake,Sesame cake,
cashew_nut_meal,Cashew Nut Meal,
cowpea,Cowpea,
pigeon_pea,Pigeon Pea,
mucuna_velvet_bean,Mucuna/Velvet bean,
locust_bean_meal,Locust Bean Meal,
leucaena_leaf,Leucaena Leaf,
moringa_leaf_meal,Moringa Leaf Meal,
cassava_leaf_meal,Cassava Leaf Meal,
blood_meal,Blood Meal,
maggot_meal,Maggot Meal,
snail_shell_meal,Snail Shell Meal,
bone_meal,Bone Meal,
limestone,Limestone,
di_calcium_phosphate,Di-Calcium Phosphate,
wood_ash,Wood Ash,
eggshell_meal,Eggshell meal,
lysine,Lysine,
methionine,Methionine,
coconut_cake,Coconut cake,
full_fat_soybean,Full fat soybean,
dried_brewers_grain,Dried brewers grain,
ingredient_coconut_cake,Coconut cake,
ingredient_full_fat_soybean,Full fat soybean,
ingredient_dried_brewers_grain,Dried brewers grain,
schedule_next,Schedule Next,
next_activity_date,Next Activity Date,
dosage_with_value,Dosage: %s,
please_wait,Please Wait,
generating_feed_requirements_pdf,Generating Feed Requirements PDF...,
generating_feed_formulation_pdf,Generating Feed Formulation PDF...,
generating_feed_report_pdf,Generating Feed Report PDF...,
generating_financial_report_pdf,Generating Financial Report PDF...,
generating_herd_report_pdf,Generating Herd Report PDF...,
generating_hr_report_pdf,Generating HR Report PDF...,
delete_account,Delete Account,
delete_account_subtitle,Permanently delete your account and farm data,
ingredient_oyster_shell,Oyster Shell,
methionine_pct_short,Methionine %,
confirm_deletion,Confirm Deletion,
delete_account_confirm_msg,"This will permanently delete your account, credentials, and all farm data. This action cannot be undone.",
factory_reset_confirm_msg,This will permanently delete ALL data associated with your farm. This action cannot be undone.,
clear_records_confirm_msg,Are you sure you want to clear these records? This action cannot be undone.,
delete_everything,Delete Everything,
master_ingredient_list,MASTER INGREDIENT LIST,
search_ingredients,Search ingredients...,
add_ingredient,Add Ingredient,
clear_search,Clear search,
protein_pct_label,Protein: %s%%,
pen_number_separated_by_comma,Pen # (separated by comma),
module_coming_soon,%s module is coming soon!,
working_hard_msg,We are working hard to bring this feature to you.,
dis_salmonella_septicemia_prev,"Isolate sick pigs, medicate water, and maintain strict biosecurity.",
dis_prdc,Porcine Respiratory Disease Complex,
dis_babesiosis_desc,"Tick-transmitted blood parasite causing high fever, anemia, and dark urine.",
dis_demodectic_mange_prev,"Improve herd nutrition, isolate affected pigs, and apply acaricides.",
sym_red_urine,Red/Dark Urine,
dis_anaplasmosis,Anaplasmosis,
dis_hyostrongylosis_prev,"Rotate pastures, keep housing dry, and implement a deworming schedule.",
dis_mma,Postpartum Dysgalactia (MMA),
dis_foot_rot,Foot Rot (Necrobacillosis),
dis_biotin_deficiency_prev,"Supplement diet with biotin and avoid rough, wet concrete floors.",
dis_thorny_headed_worm,Thorny-headed Worm,
dis_ear_biting_desc,"Abnormal behavior where pigs bite ears of pen-mates, causing necrosis.",
dis_endocarditis_desc,Heart valve infection causing heart failure and sudden death during stress.,
dis_prdc_desc,Mixed viral and bacterial respiratory infection causing coughing and poor growth.,
dis_cassava_poisoning_desc,Cyanide poisoning from raw or improperly processed cassava roots or peels.,
dis_sow_hysteria_prev,"Provide a quiet farrowing environment, supervise gilts, and use sedatives if needed.",
dis_bvdv_pig_desc,"Bovine Viral Diarrhea virus infection from contact with cattle, causing abortion.",
dis_necrotic_enteritis_prev,Vaccinate sows before farrowing and maintain absolute pen hygiene.,
dis_congenital_tremor_prev,Avoid using semen from affected boars and minimize sow stress during gestation.,
dis_parakeratosis,Parakeratosis (Zinc Deficiency),
dis_emcv,Encephalomyocarditis (EMCV),
dis_salmonella_septicemia,Salmonella Septicemia,
dis_foot_rot_desc,"Bacterial infection entering hoof injuries, causing rotting and lameness.",
dis_shoulder_ulcers,Sow Shoulder Ulcers,
sym_swollen_udder,Swollen Udder or Mastitis,
dis_polyserositis_desc,"Fibrinous inflammation of lung, heart, and joint surfaces in weaners.",
dis_congenital_tremor,Congenital Tremor,
dis_thorny_headed_worm_prev,Avoid free-range rearing on beetle-infested soils and use dewormers.,
dis_gastric_torsion_desc,"Sudden bloating and twisting of the stomach, leading to rapid death.",
dis_sow_hysteria,Sow Hysteria,
dis_phe_prev,Maintain good sanitation and use appropriate antibiotics under vet guidance.,
dis_polyserositis,Mycoplasma Polyserositis,
dis_c_difficile_desc,Bacterial infection in newborn piglets causing watery diarrhea and bloating.,
dis_parakeratosis_prev,Ensure balanced calcium-to-zinc ratio in feed and provide zinc supplements.,
dis_photosensitization_desc,Severe sunburn-like reaction in light-skinned pigs after eating specific plants.,
dis_oesophagostomiasis_desc,"Intestinal parasite causing nodules in the gut wall, leading to thin sows.",
dis_fascioliasis,Fascioliasis (Liver Fluke),
dis_gossypol_toxicity_desc,"Poisoning from feeding raw or excess cottonseed meal, causing respiratory distress.",
dis_bvdv_pig_prev,"Keep pigs separate from cattle and sheep, and restrict cross-species contacts.",
dis_trichinellosis,Trichinellosis,
dis_hydatid_disease_prev,Deworm farm dogs regularly and prevent them from eating raw pig organs.,
dis_spirochetal_colitis_desc,"Mild diarrheal disease in growing pigs, causing poor weight gain.",
dis_spirochetal_colitis,Porcine Spirochetal Colitis,
dis_sweet_potato_toxicity,Sweet Potato Toxicity,
dis_gossypol_toxicity,Gossypol Toxicity,
dis_oesophagostomiasis,Nodular Worm Infection,
dis_ergotism_desc,"Fungal poisoning from ergot-infected cereal grains, causing tissue necrosis.",
dis_bvdv_pig,BVDV Infection in Pigs,
dis_biotin_deficiency_desc,"Nutritional deficiency causing cracked hooves, skin lesions, and lameness.",
dis_emcv_desc,Rodent-borne viral infection causing sudden heart failure and abortion.,
dis_mycoplasma_arthritis_desc,"Bacterial infection causing swollen joints, lameness, and leg weakness.",
dis_strongyloidiasis,Strongyloidiasis (Threadworm),
dis_anaplasmosis_prev,Implement vector and tick control programs.,
dis_sow_hysteria_desc,Behavioral disorder where farrowing sows become aggressive and bite piglets.,
diag_other_symptoms_to_lookout,Other symptoms to watch out for:,
dis_necrotic_enteritis_desc,Bacterial toxin disease causing severe bloody diarrhea and high mortality in piglets.,
dis_photosensitization,Photosensitization,
dis_mma_desc,"Mastitis, metritis, and agalactia causing fever and lack of milk in sows after farrowing.",
dis_pwd,Post-Weaning Diarrhea (PWD),
dis_necrotic_enteritis,Necrotic Enteritis,
dis_aflatoxicosis,Aflatoxicosis,
dis_shoulder_ulcers_prev,"Provide soft bedding, keep sows in good body condition, and use rubber mats.",
dis_hyostrongylosis_desc,"Stomach worm infection causing gastritis, anemia, and weight loss.",
dis_gastric_torsion_prev,Avoid feeding large meals after long fasts and divide daily feed into portions.,
dis_thorny_headed_worm_desc,"Parasitic worm acquired by eating beetles, causing gut perforation.",
dis_polyserositis_prev,"Minimize weaning stress, avoid mixing litters, and ventilate properly.",
dis_babesiosis_prev,Control ticks using acaricides and keep pens free of vegetation.,
dis_phe,Porcine Hemorrhagic Enteropathy,
dis_sweet_potato_toxicity_desc,"Poisoning from moldy sweet potatoes, causing severe respiratory distress.",
dis_trichinellosis_prev,"Do not feed raw swill, boil food scraps for 30 minutes, and control rodents.",
dis_hyostrongylosis,Red Stomach Worm,
dis_c_difficile,Clostridium difficile (CDI),
dis_pityriasis_rosea_desc,Non-contagious skin condition in young pigs forming ring-like crusts.,
dis_oesophagostomiasis_prev,Regular pen sanitation and routine use of broad-spectrum anthelmintics.,
dis_salmonella_septicemia_desc,Severe bloodstream salmonella infection causing purple skin and rapid death.,
dis_strongyloidiasis_desc,Intestinal threadworm causing severe diarrhea and mortality in piglets.,
dis_babesiosis,Tick-borne Babesiosis,
dis_demodectic_mange_desc,Microscopic skin mite causing scaly spots and small pustules.,
dis_parakeratosis_desc,"Nutritional disease causing severe crusty, thickened skin lesions.",
dis_fascioliasis_prev,Prevent pigs from grazing in swampy areas and control mud snails.,
dis_navel_bleeding_prev,Tie umbilical cords at birth and avoid feeding mycotoxin-contaminated feed to sows.,
dis_pwd_prev,"Reduce weaning stress, maintain high sanitation, and provide clean drinking water.",
dis_cold_stress_desc,"Severe body cooling in piglets, causing shivering and high mortality.",
dis_navel_bleeding,Navel Bleeding,
dis_mycoplasma_arthritis,Mycoplasmal Arthritis,
dis_gastric_torsion,Gastric Torsion (Bloat),
dis_ear_biting_prev,"Reduce crowding, improve ventilation, and provide enrichment like chains.",
dis_biotin_deficiency,Biotin Deficiency,
dis_endocarditis_prev,"Promptly treat joint-ill and wounds, and select against susceptible genetics.",
dis_foot_rot_prev,"Repair rough concrete, keep floors dry, and use foot baths if needed.",
dis_cold_stress_prev,"Provide heat lamps, creep boxes, and keep farrowing area dry and draft-free.",
dis_strongyloidiasis_prev,"Keep farrowing crates dry and clean, and deworm sows before farrowing.",
dis_spirochetal_colitis_prev,Sanitize feeding troughs and treat affected pigs with antibiotics.,
dis_pwd_desc,"Bacterial diarrhea in piglets shortly after weaning, causing dehydration.",
dis_pityriasis_rosea_prev,"Usually self-resolving; maintain clean, dry bedding and reduce stress.",
dis_sweet_potato_toxicity_prev,Discard damaged or moldy sweet potatoes; feed only healthy tubers.,
dis_aflatoxicosis_desc,Toxin poisoning from moldy grains or feed causing liver damage and jaundice.,
dis_cassava_poisoning,Cassava Poisoning,
dis_prdc_prev,"Improve ventilation, avoid overcrowding, and control primary viruses.",
dis_ergotism_prev,Screen feed grains for dark ergot bodies and replace contaminated feed.,
dis_congenital_tremor_desc,Neurological condition in newborn piglets causing severe trembling.,
dis_navel_bleeding_desc,Excessive bleeding from the umbilical cord in newborn piglets.,
dis_fascioliasis_desc,"Parasitic fluke affecting the liver, common in wet or swampy pastures.",
dis_demodectic_mange,Demodex Mange,
dis_phe_desc,Acute bloody diarrhea and sudden death in grower/finisher pigs.,
dis_pityriasis_rosea,Pityriasis Rosea,
dis_endocarditis,Bacterial Endocarditis,
dis_aflatoxicosis_prev,"Avoid feeding moldy feed, store grains in dry conditions, and use toxin binders.",
dis_c_difficile_prev,Clean and disinfect farrowing pens thoroughly and ensure early colostrum.,
dis_emcv_prev,Implement strict rodent control and protect feed from contamination.,
dis_mycoplasma_arthritis_prev,"Improve housing conditions, reduce stocking density, and treat early.",
dis_anaplasmosis_desc,"Tick-borne bacterial infection causing anemia, fever, and jaundice.",
sym_cracked_hooves,Cracked Hooves,
dis_cold_stress,Cold Stress (Hypothermia),
dis_ear_biting,Ear Cannibalism,
dis_shoulder_ulcers_desc,Pressure sores on the shoulders of thin sows housed on hard concrete.,
dis_ergotism,Ergot Poisoning (Ergotism),
dis_cassava_poisoning_prev,"Peel, boil, sun-dry, or ferment cassava before feeding.",
dis_mma_prev,Maintain strict farrowing pen hygiene and ensure adequate sow nutrition.,
dis_hydatid_disease_desc,Parasitic larval infection causing fluid-filled cysts in organs.,
dis_hydatid_disease,Hydatidosis,
dis_photosensitization_prev,"Provide shade, remove sensitizing weeds, and keep pigs indoors.",
dis_trichinellosis_desc,"Zoonotic parasitic disease from eating raw meat scraps, causing muscle stiffness.",
dis_gossypol_toxicity_prev,Limit cottonseed meal in diet and use iron sulfate to neutralize gossypol.,
check_internet_connection,Check your internet connection,
google_sign_in_no_accounts,Google account not found. Please add a Google account to your device or sign in with email.,
or_use,Or use,
continue_with_Google,Continue with Google,
use_system_theme,Use System Theme,
use_system_theme_subtitle,Automatically switch theme based on device settings,
inventory,Inventory,
formulation,Formulation,
add_feed_item,Add Feed Item,
delete_feed_item,Delete Feed Item,
delete_feed_confirm,Are you sure you want to delete this feed inventory item?,
log_usage,Log Usage,
feed_type,Feed Type,
feed_name,Feed Name,
min_threshold,Min Alert Threshold,
bag_weight_kg,Bag Weight (kg),
initial_stock,Initial Stock,
low_stock_warning,Low Stock,
transaction_history,Transaction History,
unit_bags,Bags,
unit_kg,kg,
bags_abbr,bags,
kg_abbr,kg,
notes_optional,Notes (Optional),
excellent,Excellent,
good,Good,
caution,Caution,
poor,Poor,
performance,Performance,
blank,Blank,
weight_update_warning,Weight has not been updated in the past 25 days. Please update the weight for accurate tracking.,
summary,Summary,
total_income,Total Income,
total_expense,Total Expense,
net_profit_loss,Net Profit/Loss,
detailed_transaction_history,Detailed Transaction History,
date,Date,
narration,Narration,
balance,Balance,
nutrient_base,Nutrient Base,
current_cost_per_kg,Current Cost/kg,
addition,Addition,
usage,Usage,
in_stock,In Stock,
herd_summary_label,Herd Summary,
herd_total_pigs_label,Total Pigs: %d,
herd_total_breeders_label,Total Breeders: %d,
herd_total_porkers_label,Total Porkers: %d,
herd_breakdown_breeders,Breakdown of Breeders,
herd_breakdown_porkers,Breakdown of Porkers,
pig_profile_report,Pig Profile Report,
financial_summary_report,Financial Summary Report,
herd_data_report,Herd Data Report,
open_pdf,Open PDF,
no_pdf_app_found,No app found to open PDF,
salary,Salary,
go_premium,"Farm Smart, Farm Premium",
premium_benefits,Premium Access,
unlimited_pigs,Add Unlimited Pigs to Herd,
export_any_report,Export All Reports to PDF,
advanced_feed_formulator,Mix Professional Grade Feed,
staff_management,"Add Staff, Allow Access & Track Activities in Real-Time",
ai_symptoms_analyzer,Find Diseases with Symptoms Analyzer,
monthly_plan,Monthly Plan,
annual_plan,Annual Plan,
restore_purchase,Restore Purchase,
premium_required,Premium Required,
premium_msg,This feature is only available for premium users.,
default_monthly_price,Pay US$5/mo to save up to x20 off less productive herd,
default_annual_price,Pay US$45/yr to save over x30 off commercial feed,
price_per_month,Pay %s to save up to x20 off less productive herd,
price_per_year,Pay %s to save over x30 off commercial feed,
gives_you,lets you;,
auto_renewal_cancel_desc,Subscriptions will automatically renew unless canceled at least 24 hours before the end of the current period.,
best_value,Best Value,
manage_stock,Manage Stock,
select_ingredient_to_update,Select Ingredient,
sub_herd_data,Manage and track pigs,
sub_feed,Ingredients & formulator,
sub_herd_activities,Log activities & events,
sub_financials,Track sales and expenses,
sub_human_resources,"Staff, Salaries & access",
sub_market,"Find vendors, vets & buyers",
sub_symptoms_analyzer,Find disease from symptoms,
sub_weight_checker,Weigh with tape,
sub_training,Tips & tutorials,
ingredient_sweet_potato_vines_fresh,Sweet potato vines (fresh),
ingredient_yam_peels,Yam peels,
ingredient_mustard_oil_cake,Mustard oil cake,
ingredient_pineapple_bran_dried,Pineapple bran (dried),
ingredient_soybean_hulls,Soybean hulls,
ingredient_rapeseed_meal,Rapeseed meal,
ingredient_sunflower_meal,Sunflower meal,
ingredient_banana_peels_dried,Banana peels (dried),
